	I1	IF	SI1	SI2	VS1	VS2	VVS1	VVS2
Fair D	29532	4859	247854	243888	14606	112822	13419	32463
Fair E	18857		253575	325446	46311	127752	12346	40551
Fair F	89023	9376	314129	402290	135401	180225	23399	40182
Fair G	168936	2976	246976	453212	157393	242300	6649	52684
Fair H	219074		389685	548039	147352	209548	4115	38299
Fair I	119034		137249	299611	112512	123396	4194	23957
Fair J	133286		127510	138559	94499	93560	1691	2998
Good D	27926	90273	716018	801751	152933	373200	33621	58641
Good E	101157	13673	1122557	764669	330437	603523	81956	176288
Good F	48821	46993	890377	889784	367951	697460	76633	159618
Good G	60720	89323	854771	778555	653969	795017	110913	248285
Good H	53896	23795	982132	873705	294072	611760	53311	109260
Good I	37579	10496	782586	561574	473508	655222	58321	71708
Good J	15178	16428	407231	281224	190467	432285	4633	56825
Ideal D	45850	183881	1837959	1118569	904190	1942973	389632	1027800
Ideal E	64069	257456	2208997	1825021	1290248	2457536	738849	1296062
Ideal F	163945	577194	2255876	1963985	2158465	2915823	1148943	1728287
Ideal G	64711	1083161	2271131	2241474	3923423	3922132	1728064	2937834
Ideal H	205777	448105	3639501	2515263	1687423	2245754	624611	748844
Ideal I	69756	142749	2609997	1970584	1609324	2042562	364157	508845
Ideal J	18908	62225	1243109	721069	951620	1129175	58005	222584
Premium D	45825	90565	1799426	1831807	547324	989662	150840	365513
Premium E	95978	122187	2064652	2330274	1086735	1931278	283485	355854
Premium F	120855	112145	2456604	2482728	1379831	2613088	317546	598522
Premium G	186370	288067	2435695	2763665	2510676	3285060	501655	1188982
Premium H	179600	135390	3738558	3500571	1326977	2954662	162821	312849
Premium I	121071	54247	2235798	2230327	1180000	2254249	153811	261643
Premium J	59504	84312	1196855	1215596	890041	1247463	173865	218394
Very Good D	13114	236860	1598056	1389594	517209	971865	155362	368757
Very Good E	75758	186308	2020838	1904354	905182	1674737	339566	608422
Very Good F	55288	313364	1998029	1457667	1137075	1862110	491818	862016
Very Good G	51117	278494	1650407	1536661	1628705	2120445	516673	1120959
Very Good H	63106	76783	2698868	2096558	963801	1737203	234852	401381
Very Good I	48361	77784	1859918	1324320	1081779	1576772	141893	217252
Very Good J	35827	8593	914831	767091	520751	979901	60335	172853
