	europe	japan	usa
70 4	26.0	27.0	
70 6			22.0
70 8			18.0
71 4	30.0	35.0	28.0
71 6			19.0
71 8			14.0
72 3		19.0	
72 4	26.0	28.0	28.0
72 8			17.0
73 3		18.0	
73 4	29.0	22.0	21.0
73 6		20.0	23.0
73 8			16.0
74 4	31.0	32.0	28.0
74 6			21.0
74 8			16.0
75 4	29.0	33.0	23.0
75 6			21.0
75 8			20.0
76 4	29.5	33.0	29.0
76 6	16.5	19.0	24.0
76 8			17.5
77 3		21.5	
77 4	36.0	33.5	33.5
77 6		22.0	20.5
77 8			17.5
78 4	43.1	39.4	36.1
78 5	20.3		
78 6	17.0		20.8
78 8			20.2
79 4	37.3	34.1	35.7
79 5	25.4		
79 6			28.8
79 8			23.9
80 3		23.7	
80 4	44.3	46.6	32.1
80 5	36.4		
80 6		32.7	19.1
81 4	34.5	39.1	39.0
81 6	30.7	25.4	23.5
81 8			26.6
82 4	44.0	38.0	38.0
82 6			38.0
