ID	speed	period	warning	pair
int	int	str	str	str
1	26	pre	yes	1
2	26	pre	yes	1
3	26	pre	yes	1
4	26	pre	yes	1
5	27	pre	yes	1
6	28	pre	yes	1
7	28	pre	yes	1
8	28	pre	yes	1
9	28	pre	yes	1
10	29	pre	yes	1
11	29	pre	yes	1
12	29	pre	yes	1
13	29	pre	yes	1
14	29	pre	yes	1
15	29	pre	yes	1
16	29	pre	yes	1
17	29	pre	yes	1
18	30	pre	yes	1
19	30	pre	yes	1
20	30	pre	yes	1
21	31	pre	yes	1
22	31	pre	yes	1
23	31	pre	yes	1
24	31	pre	yes	1
25	31	pre	yes	1
26	31	pre	yes	1
27	31	pre	yes	1
28	31	pre	yes	1
29	31	pre	yes	1
30	31	pre	yes	1
31	32	pre	yes	1
32	32	pre	yes	1
33	32	pre	yes	1
34	32	pre	yes	1
35	32	pre	yes	1
36	32	pre	yes	1
37	32	pre	yes	1
38	32	pre	yes	1
39	32	pre	yes	1
40	32	pre	yes	1
41	33	pre	yes	1
42	33	pre	yes	1
43	33	pre	yes	1
44	33	pre	yes	1
45	33	pre	yes	1
46	33	pre	yes	1
47	34	pre	yes	1
48	34	pre	yes	1
49	34	pre	yes	1
50	34	pre	yes	1
51	34	pre	yes	1
52	34	pre	yes	1
53	34	pre	yes	1
54	34	pre	yes	1
55	34	pre	yes	1
56	35	pre	yes	1
57	35	pre	yes	1
58	35	pre	yes	1
59	35	pre	yes	1
60	36	pre	yes	1
61	36	pre	yes	1
62	36	pre	yes	1
63	36	pre	yes	1
64	36	pre	yes	1
65	36	pre	yes	1
66	36	pre	yes	1
67	36	pre	yes	1
68	36	pre	yes	1
69	36	pre	yes	1
70	37	pre	yes	1
71	37	pre	yes	1
72	37	pre	yes	1
73	37	pre	yes	1
74	37	pre	yes	1
75	37	pre	yes	1
76	38	pre	yes	1
77	38	pre	yes	1
78	38	pre	yes	1
79	38	pre	yes	1
80	38	pre	yes	1
81	38	pre	yes	1
82	38	pre	yes	1
83	38	pre	yes	1
84	39	pre	yes	1
85	39	pre	yes	1
86	39	pre	yes	1
87	40	pre	yes	1
88	40	pre	yes	1
89	41	pre	yes	1
90	42	pre	yes	1
91	43	pre	yes	1
92	43	pre	yes	1
93	43	pre	yes	1
94	44	pre	yes	1
95	44	pre	yes	1
96	45	pre	yes	1
97	45	pre	yes	1
98	46	pre	yes	1
99	46	pre	yes	1
100	49	pre	yes	1
101	26	after	yes	1
102	27	after	yes	1
103	28	after	yes	1
104	28	after	yes	1
105	29	after	yes	1
106	29	after	yes	1
107	29	after	yes	1
108	29	after	yes	1
109	30	after	yes	1
110	30	after	yes	1
111	30	after	yes	1
112	31	after	yes	1
113	31	after	yes	1
114	31	after	yes	1
115	31	after	yes	1
116	31	after	yes	1
117	31	after	yes	1
118	31	after	yes	1
119	31	after	yes	1
120	31	after	yes	1
121	31	after	yes	1
122	31	after	yes	1
123	32	after	yes	1
124	32	after	yes	1
125	32	after	yes	1
126	32	after	yes	1
127	32	after	yes	1
128	32	after	yes	1
129	32	after	yes	1
130	32	after	yes	1
131	33	after	yes	1
132	33	after	yes	1
133	33	after	yes	1
134	33	after	yes	1
135	33	after	yes	1
136	34	after	yes	1
137	34	after	yes	1
138	34	after	yes	1
139	34	after	yes	1
140	35	after	yes	1
141	35	after	yes	1
142	35	after	yes	1
143	35	after	yes	1
144	35	after	yes	1
145	35	after	yes	1
146	35	after	yes	1
147	35	after	yes	1
148	35	after	yes	1
149	35	after	yes	1
150	35	after	yes	1
151	36	after	yes	1
152	36	after	yes	1
153	36	after	yes	1
154	36	after	yes	1
155	36	after	yes	1
156	36	after	yes	1
157	36	after	yes	1
158	36	after	yes	1
159	36	after	yes	1
160	36	after	yes	1
161	36	after	yes	1
162	36	after	yes	1
163	37	after	yes	1
164	37	after	yes	1
165	37	after	yes	1
166	37	after	yes	1
167	38	after	yes	1
168	38	after	yes	1
169	38	after	yes	1
170	38	after	yes	1
171	38	after	yes	1
172	38	after	yes	1
173	38	after	yes	1
174	39	after	yes	1
175	39	after	yes	1
176	39	after	yes	1
177	40	after	yes	1
178	40	after	yes	1
179	40	after	yes	1
180	40	after	yes	1
181	40	after	yes	1
182	40	after	yes	1
183	41	after	yes	1
184	41	after	yes	1
185	41	after	yes	1
186	42	after	yes	1
187	42	after	yes	1
188	42	after	yes	1
189	43	after	yes	1
190	43	after	yes	1
191	43	after	yes	1
192	44	after	yes	1
193	44	after	yes	1
194	45	after	yes	1
195	45	after	yes	1
196	45	after	yes	1
197	48	after	yes	1
198	48	after	yes	1
199	48	after	yes	1
200	51	after	yes	1
201	21	pre	no	1
202	25	pre	no	1
203	25	pre	no	1
204	26	pre	no	1
205	26	pre	no	1
206	26	pre	no	1
207	26	pre	no	1
208	26	pre	no	1
209	27	pre	no	1
210	28	pre	no	1
211	28	pre	no	1
212	28	pre	no	1
213	28	pre	no	1
214	28	pre	no	1
215	28	pre	no	1
216	28	pre	no	1
217	29	pre	no	1
218	29	pre	no	1
219	29	pre	no	1
220	29	pre	no	1
221	29	pre	no	1
222	29	pre	no	1
223	30	pre	no	1
224	30	pre	no	1
225	31	pre	no	1
226	31	pre	no	1
227	31	pre	no	1
228	31	pre	no	1
229	31	pre	no	1
230	31	pre	no	1
231	31	pre	no	1
232	31	pre	no	1
233	31	pre	no	1
234	31	pre	no	1
235	32	pre	no	1
236	32	pre	no	1
237	32	pre	no	1
238	33	pre	no	1
239	33	pre	no	1
240	33	pre	no	1
241	33	pre	no	1
242	33	pre	no	1
243	33	pre	no	1
244	33	pre	no	1
245	34	pre	no	1
246	34	pre	no	1
247	34	pre	no	1
248	34	pre	no	1
249	34	pre	no	1
250	34	pre	no	1
251	34	pre	no	1
252	34	pre	no	1
253	34	pre	no	1
254	35	pre	no	1
255	35	pre	no	1
256	35	pre	no	1
257	35	pre	no	1
258	35	pre	no	1
259	35	pre	no	1
260	36	pre	no	1
261	36	pre	no	1
262	36	pre	no	1
263	36	pre	no	1
264	36	pre	no	1
265	36	pre	no	1
266	37	pre	no	1
267	37	pre	no	1
268	37	pre	no	1
269	37	pre	no	1
